ds,yhat,yhat_lower,yhat_upper
2015-01-31,872101.8190819635,727760.3139961062,1011058.0237484575
2015-02-28,856275.1567253764,714271.2639218196,1005731.7044284216
2015-03-31,975964.5950259077,818173.2954369,1122043.1197198755
2015-04-30,963141.5428450233,811164.8036841683,1107326.9360171047
2015-05-31,1016441.6362719652,877746.3249956226,1161850.539324
2015-06-30,991729.0515512681,845094.9900412101,1132965.99466361
2015-07-31,1010941.5203264082,857443.2734938749,1151640.9425058654
2015-08-31,999385.900691098,850645.5587651955,1153475.9350702327
2015-09-30,989134.4649402059,847077.6084123828,1126392.7387408495
2015-10-31,978665.5619202402,833850.0393931123,1132612.7683764836
2015-11-30,860453.3443776756,716169.5678857573,1000464.7908947172
2015-12-31,854084.8472425854,700979.2939170243,998400.2617048967
2016-01-31,854259.9655950558,706318.1444503664,998440.3623334965
2016-02-29,912887.041110848,749348.5348591688,1056156.509222807
2016-03-31,945208.7174429127,808602.7389157002,1098089.993909577
2016-04-30,917764.6565487352,773190.241545313,1069058.1286255217
2016-05-31,945443.7390963765,798370.4386224289,1088946.9795969408
2016-06-30,897405.0502421656,741758.6821522732,1039971.1194446902
2016-07-31,951157.9385301787,810223.9602552319,1097802.0411411356
2016-08-31,960216.9288350422,813693.1885028018,1101880.0053030401
2016-09-30,955447.8468240465,797570.0680560862,1093546.4650464254
2016-10-31,969439.6112614387,815866.8027223255,1111172.0527497006
2016-11-30,811086.8473980067,671044.896056209,953214.759202603
2016-12-31,759728.5548179821,619829.857911166,901034.9657637043
2017-01-31,699792.1535722492,560101.8777761688,856078.554290476
2017-02-28,825799.5970621717,676117.2829093573,966119.7207619015
2017-03-31,886353.847936802,733622.0734717671,1041956.1642698785
2017-04-30,863702.3991673088,699607.4364608023,1010893.5857616863
2017-05-31,899998.7803387493,749792.5140415641,1047459.0269144371
2017-06-30,860136.2528504427,710351.0045389176,1001410.1754570093
2017-07-31,902688.0545644156,759839.349183102,1049114.8036929017
2017-08-31,904794.2312797667,751501.432460544,1053573.4071905673
2017-09-30,898038.8983297456,755863.5020831013,1032304.7225514372
2017-10-31,903555.5622487336,760606.8250036697,1049948.2807539327
2017-11-30,758134.7850585046,604301.2421877935,903771.60866137
2017-12-31,721914.9210036993,581355.7523965087,864262.4211978907
2018-01-31,683046.7575382625,543188.6841857405,835231.206801284
2018-02-28,738111.4945496486,597683.4606492011,875446.3013305088
2018-03-31,827794.031978949,691076.4817545358,967970.1140926748
2018-04-30,810021.5276181326,659026.3728322785,950753.6856738111
2018-05-31,854862.8840830445,703659.8531286818,1014444.0730460468
2018-06-30,822778.7776277142,684454.5923553307,980138.8894841055
2018-07-31,853812.5208932661,698249.486964373,995718.9014279039
